Winner,Dad_total,Tom_total,Will_total,Dad,Tom,Will,AFC Wildcard 1,AFC Wildcard 2,AFC Divisional 1,AFC Divisional 2,AFC Championship,NFC Wildcard 1,NFC Wildcard 2,NFC Divisional 1,NFC Divisional 2,NFC Championship,Super Bowl,p,p_adj
Will,6,4,8,4,4,3,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.003426957435,0.004351836289907216
Will,6,4,8,4,4,3,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.00228463829,0.002901224193271477
Will,6,3,9,4,3,4,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.002692609413,0.0034192999417978374
Will,6,3,9,4,3,4,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.001795072942,0.0022795332945318913
Will,5,5,8,3,5,3,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.001721128176,0.002185632065167046
Will,5,5,8,3,5,3,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.001147418784,0.0014570880434446973
Will,5,3,10,3,3,5,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.001682880883,0.002137062463464913
Will,5,3,10,3,3,5,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.001192040626,0.0015137525789755
Will,8,1,9,6,1,4,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.001855376174,0.0023561113665954837
Will,8,1,9,6,1,4,Chargers,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.001236917449,0.0015707409106403617
Will,8,1,9,6,1,4,Ravens,Texans,Ravens,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.001499293878,0.00190392837707251
Will,8,1,9,6,1,4,Chargers,Texans,Chargers,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.00106199983,0.0013486159334422237
Will,8,0,10,6,0,5,Ravens,Colts,Colts,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.001003991436,0.0012749520380141103
Will,8,0,10,6,0,5,Chargers,Colts,Colts,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,6.69e-4,8.495519810703243e-4
Will,5,5,8,3,5,3,Ravens,Texans,Chiefs,Texans,Texans,Cowboys,Bears,Saints,Rams,Saints,Texans,9.04e-4,0.0011479745753177476
Will,5,5,8,3,5,3,Chargers,Texans,Chiefs,Texans,Texans,Cowboys,Bears,Saints,Rams,Saints,Texans,6.02e-4,7.644697946253143e-4
Will,5,1,12,3,1,7,Ravens,Colts,Chiefs,Ravens,Ravens,Cowboys,Bears,Saints,Rams,Saints,Ravens,0.001325268696,0.0016829366907881694
Will,5,1,12,3,1,7,Chargers,Colts,Chiefs,Chargers,Chargers,Cowboys,Bears,Saints,Rams,Saints,Chargers,8.84e-4,0.0011225769077222224
Will,6,1,11,4,1,6,Ravens,Texans,Ravens,Pats,Ravens,Cowboys,Bears,Saints,Rams,Saints,Ravens,0.001713478717,0.002175918144318666
Will,6,1,11,4,1,6,Chargers,Texans,Chargers,Pats,Chargers,Cowboys,Bears,Saints,Rams,Saints,Chargers,0.001142319145,0.0014506120966357385
Will,6,0,12,4,0,7,Ravens,Colts,Colts,Pats,Colts,Cowboys,Bears,Saints,Rams,Saints,Colts,9.18e-4,0.0011657529426346155
Will,6,0,12,4,0,7,Chargers,Colts,Colts,Pats,Colts,Cowboys,Bears,Saints,Rams,Saints,Colts,6.12e-4,7.77168628423077e-4
Will,5,5,8,3,5,3,Ravens,Texans,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Rams,Saints,Chiefs,0.002919260037,0.003707119802231358
Will,5,5,8,3,5,3,Chargers,Texans,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Rams,Saints,Chiefs,0.001946173358,0.002471413201487572
Will,5,4,9,3,4,4,Ravens,Colts,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Rams,Saints,Chiefs,0.002293704315,0.0029127369877396136
Will,5,4,9,3,4,4,Chargers,Colts,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Rams,Saints,Chiefs,0.00152913621,0.0019418246584930754
Will,4,6,8,2,6,3,Ravens,Texans,Chiefs,Texans,Chiefs,Seahawks,Bears,Saints,Rams,Saints,Chiefs,0.001466146224,0.0018618347221793356
