Dad,Tom,Will,AFC Wildcard 1,AFC Wildcard 2,AFC Divisional 1,AFC Divisional 2,AFC Championship,NFC Wildcard 1,NFC Wildcard 2,NFC Divisional 1,NFC Divisional 2,NFC Championship,Super Bowl,p
4,4,3,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.00342695743488
4,4,3,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.00228463828992
4,3,4,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.00269260941312
4,3,4,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.0017950729420800002
3,5,3,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.0017211281759999999
3,5,3,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.001147418784
3,3,5,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.0016828808832
3,3,5,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Bears,Saints,Rams,Saints,Chiefs,0.0011920406256
6,2,3,Ravens,Texans,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.002361387857472
6,2,3,Chargers,Texans,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.0015742585716480002
6,1,4,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.001855376173728
6,1,4,Chargers,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.001236917449152
6,1,4,Ravens,Texans,Ravens,Pats,Pats,Cowboys,Bears,Saints,Rams,Saints,Pats,0.0014992938777600002
