Region,Round,Player,Match,Pick,Seed,Win
East,1,Dad,1,Duke,1,
East,1,Dad,2,UCF,9,
East,1,Dad,3,Liberty,12,
East,1,Dad,4,Virginia Tech,4,
East,1,Dad,5,Belmont,11,
East,1,Dad,6,LSU,3,
East,1,Dad,7,Louisville,7,
East,1,Dad,8,Mich. St,2,
East,2,Dad,1,Duke,1,
East,2,Dad,2,Liberty,12,
East,2,Dad,3,LSU,3,
East,2,Dad,4,Mich St.,2,
East,3,Dad,1,Duke,1,
East,3,Dad,2,Mich St.,2,
East,4,Dad,1,Duke,1,
West,1,Dad,1,Gonzaga,1,
West,1,Dad,2,Baylor,9,
West,1,Dad,3,Murray State,12,
West,1,Dad,4,Florida State,4,
West,1,Dad,5,Arizona St.,11,
West,1,Dad,6,Texas Tech,3,
West,1,Dad,7,Nevada,7,
West,1,Dad,8,Michigan,2,
West,2,Dad,1,Gonzaga,1,
West,2,Dad,2,Florida State,4,
West,2,Dad,3,Texas Tech,3,
West,2,Dad,4,Michigan,2,
West,3,Dad,1,Gonzaga,1,
West,3,Dad,2,Texas Tech,3,
West,4,Dad,1,Texas Tech,3,
South,1,Dad,1,Virginia,1,
South,1,Dad,2,Mississippi,8,
South,1,Dad,3,Oregon,12,
South,1,Dad,4,UC Irvine,13,
South,1,Dad,5,Villanova,6,
South,1,Dad,6,Purdue,3,
South,1,Dad,7,Cincinati,7,
South,1,Dad,8,Tennessee,2,
South,2,Dad,1,Virginia,1,
South,2,Dad,2,Oregon,12,
South,2,Dad,3,Villanova,6,
South,2,Dad,4,Tennessee,2,
South,3,Dad,1,Oregon,12,
South,3,Dad,2,Tennessee,2,
South,4,Dad,1,Tennessee,2,
Midwest,1,Dad,1,North Carolina,1,
Midwest,1,Dad,2,Utah State,8,
Midwest,1,Dad,3,New Mexico St,12,
Midwest,1,Dad,4,Kansas,4,
Midwest,1,Dad,5,Iowa State,6,
Midwest,1,Dad,6,Houston,3,
Midwest,1,Dad,7,Seton Hall,10,
Midwest,1,Dad,8,Kentucky,2,
Midwest,2,Dad,1,North Carolina,1,
Midwest,2,Dad,2,New Mexico St,12,
Midwest,2,Dad,3,Houston,3,
Midwest,2,Dad,4,Kentucky,2,
