pos,name,total,thru,today,r1,r2,r3,r4,strokes,player,inverted,pick
1,Bryson DeChambeau,-6,9,E,66,36,0,0,102,Will,FALSE,16
T2,Brooks Koepka,-5,8,+1,66,33,0,0,99,Tom,FALSE,8
T2,Jason Day,-5,9,-3,70,33,0,0,103,NA,NA,NA
T2,Francesco Molinari,-5,10,-3,70,37,0,0,107,Dad,FALSE,12
T5,Phil Mickelson,-4,8,+1,67,33,0,0,100,NA,NA,NA
T5,Ian Poulter,-4,11,E,68,44,0,0,112,NA,NA,NA
T5,Patton Kizzire,-4,F,-2,70,70,0,0,140,NA,NA,NA
T8,Adam Scott,-3,1,E,69,4,0,0,73,Dad,FALSE,7
T8,Justin Harding,-3,6,E,69,23,0,0,92,NA,NA,NA
T8,Dustin Johnson,-3,9,+1,68,37,0,0,105,Will,FALSE,3
T8,Thorbjorn Olesen,-3,16,-2,71,62,0,0,133,NA,NA,NA
T8,Kiradech Aphibarnrat,-3,12,E,69,47,0,0,116,Will,TRUE,15
T8,Jon Rahm,-3,1:49 pm,0,69,0,0,0,69,Dad,FALSE,6
T14,Justin Thomas,-2,8,-3,73,29,0,0,102,Will,FALSE,10
T14,Cameron Smith,-2,2:00 pm,0,70,0,0,0,70,NA,NA,NA
T14,Tiger Woods,-2,1:49 pm,0,70,0,0,0,70,Tom,FALSE,5
T14,Gary Woodland,-2,1:38 pm,0,70,0,0,0,70,NA,NA,NA
T14,Rickie Fowler,-2,2:00 pm,0,70,0,0,0,70,Dad,FALSE,1
T14,Keith Mitchell,-2,7,-2,72,25,0,0,97,NA,NA,NA
T14,Matt Kuchar,-2,11,-1,71,43,0,0,114,NA,NA,NA
T21,Louis Oosthuizen,-1,1:27 pm,0,71,0,0,0,71,NA,NA,NA
T21,Tony Finau,-1,1,E,71,4,0,0,75,Tom,FALSE,17
T21,Emiliano Grillo,-1,3,-1,72,12,0,0,84,NA,NA,NA
T21,Lucas Bjerregaard,-1,3,+1,70,14,0,0,84,NA,NA,NA
T21,Tommy Fleetwood,-1,1:38 pm,0,71,0,0,0,71,Dad,FALSE,18
T21,Andrew Landry,-1,7,-1,72,26,0,0,98,NA,NA,NA
T21,Corey Conners,-1,7,+1,70,28,0,0,98,NA,NA,NA
T21,Charley Hoffman,-1,1:27 pm,0,71,0,0,0,71,NA,NA,NA
T29,Bubba Watson,E,9,E,72,36,0,0,108,NA,NA,NA
T29,Kyle Stanley,E,1,E,72,4,0,0,76,NA,NA,NA
T29,Rafa Cabrera-Bello,E,10,-1,73,39,0,0,112,NA,NA,NA
T29,Webb Simpson,E,1:16 pm,0,72,0,0,0,72,NA,NA,NA
T29,Si Woo Kim,E,4,E,72,16,0,0,88,NA,NA,NA
T29,Bernhard Langer,E,15,+1,71,62,0,0,133,NA,NA,NA
T29,J.B. Holmes,E,4,+2,70,18,0,0,88,NA,NA,NA
T29,Kevin Kisner,E,13,+3,69,55,0,0,124,NA,NA,NA
T29,Charles Howell III,E,2,-1,73,8,0,0,81,NA,NA,NA
T29,Kevin Na,E,16,+1,71,65,0,0,136,Dad,TRUE,13
T29,Jimmy Walker,E,16,E,72,64,0,0,136,NA,NA,NA
T29,Haotong Li,E,1:49 pm,0,72,0,0,0,72,NA,NA,NA
T29,Marc Leishman,E,1:27 pm,0,72,0,0,0,72,NA,NA,NA
T29,Viktor Hovland,E,1:16 pm,0,72,0,0,0,72,NA,NA,NA
T43,Patrick Cantlay,+1,10,E,73,40,0,0,113,NA,NA,NA
T43,Branden Grace,+1,3,+1,72,14,0,0,86,NA,NA,NA
T43,Sergio Garcia,+1,1,E,73,4,0,0,77,Tom,TRUE,14
T43,Satoshi Kodaira,+1,10,-2,75,38,0,0,113,NA,NA,NA
T43,Patrick Reed,+1,1:16 pm,0,73,0,0,0,73,NA,NA,NA
T43,Zach Johnson,+1,11,-1,74,43,0,0,117,NA,NA,NA
T43,Rory McIlroy,+1,2:00 pm,0,73,0,0,0,73,Tom,FALSE,2
T43,Xander Schauffele,+1,1:38 pm,0,73,0,0,0,73,NA,NA,NA
T43,Alvaro Ortiz,+1,15,E,73,61,0,0,134,NA,NA,NA
T52,Trevor Immelman,+2,17,E,74,68,0,0,142,NA,NA,NA
T52,Stewart Cink,+2,16,-2,76,62,0,0,138,NA,NA,NA
T52,Tyrrell Hatton,+2,10,+1,73,41,0,0,114,NA,NA,NA
T52,Kevin Tway,+2,7,+2,72,29,0,0,101,NA,NA,NA
T52,Mike Weir,+2,6,+2,72,25,0,0,97,NA,NA,NA
T52,Eddie Pepperell,+2,2,E,74,9,0,0,83,NA,NA,NA
T52,Henrik Stenson,+2,1,E,74,4,0,0,78,Tom,FALSE,11
T59,Jordan Spieth,+3,8,E,75,32,0,0,107,Will,FALSE,9
T59,Hideki Matsuyama,+3,1,E,75,4,0,0,79,NA,NA,NA
T59,Takumi Kanaya,+3,5,+2,73,22,0,0,95,NA,NA,NA
T59,Aaron Wise,+3,6,E,75,23,0,0,98,NA,NA,NA
T59,Brandt Snedeker,+3,5,E,75,20,0,0,95,NA,NA,NA
