pos,name,total,thru,today,r1,r2,r3,r4,strokes,player,inverted,draft_pick
1,Tiger Woods,-14,16,-3,70,68,67,61,266,Tom,FALSE,5
T2,Dustin Johnson,-12,F,-4,68,70,70,68,276,Will,FALSE,3
T2,Xander Schauffele,-12,17,-4,73,65,70,64,272,NA,NA,NA
T2,Brooks Koepka,-12,16,-2,66,71,69,62,268,Tom,FALSE,8
T5,Jason Day,-11,F,-5,70,67,73,67,277,NA,NA,NA
T5,Tony Finau,-11,16,E,71,70,64,64,269,Tom,FALSE,17
T7,Jon Rahm,-10,F,-4,69,70,71,68,278,Dad,FALSE,6
T7,Patrick Cantlay,-10,F,-4,73,73,64,68,278,NA,NA,NA
T7,Rickie Fowler,-10,F,-3,70,71,68,69,278,Dad,FALSE,1
T7,Webb Simpson,-10,16,-1,72,71,64,63,270,NA,NA,NA
T7,Francesco Molinari,-10,16,+3,70,67,66,67,270,Dad,FALSE,12
12,Ian Poulter,-9,16,E,68,71,68,64,271,NA,NA,NA
T13,Bubba Watson,-8,F,-3,72,72,67,69,280,NA,NA,NA
T13,Justin Thomas,-8,F,-2,73,68,69,70,280,Will,FALSE,10
T13,Matt Kuchar,-8,17,E,71,69,68,68,276,NA,NA,NA
T16,Justin Harding,-7,17,+1,69,69,70,69,277,NA,NA,NA
T16,Aaron Wise,-7,F,-5,75,71,68,67,281,NA,NA,NA
T18,Patton Kizzire,-6,F,-3,70,70,73,69,282,NA,NA,NA
T18,Phil Mickelson,-6,F,E,67,73,70,72,282,NA,NA,NA
T18,Adam Scott,-6,F,+1,69,68,72,73,282,Dad,FALSE,7
T21,Rory McIlroy,-5,F,-4,73,71,71,68,283,Tom,FALSE,2
T21,Kevin Kisner,-5,F,-3,69,73,72,69,283,NA,NA,NA
T21,Kyle Stanley,-5,F,-3,72,72,70,69,283,NA,NA,NA
T21,Si Woo Kim,-5,F,-3,72,72,70,69,283,NA,NA,NA
T21,Matthew Fitzpatrick,-5,F,-2,78,67,68,70,283,NA,NA,NA
T21,Jordan Spieth,-5,F,-1,75,68,69,71,283,Will,FALSE,9
T21,Lucas Bjerregaard,-5,F,E,70,72,69,72,283,NA,NA,NA
T21,Thorbjorn Olesen,-5,F,+1,71,71,68,73,283,NA,NA,NA
T29,Bryson DeChambeau,-4,F,-2,66,75,73,70,284,Will,FALSE,16
T29,Charley Hoffman,-4,F,-2,71,71,72,70,284,NA,NA,NA
T29,Louis Oosthuizen,-4,F,+4,71,66,71,76,284,NA,NA,NA
T32,Hideki Matsuyama,-3,F,E,75,70,68,72,285,NA,NA,NA
T32,Gary Woodland,-3,F,-2,70,71,74,70,285,NA,NA,NA
T32,Viktor Hovland,-3,F,-1,72,71,71,71,285,NA,NA,NA
T32,Charles Howell III,-3,F,-3,73,67,76,69,285,NA,NA,NA
T36,Rafa Cabrera-Bello,-2,F,-4,73,70,75,68,286,NA,NA,NA
