Player,Team,Abbrev,Division,Inverted?,proj_538,proj_fangraphs
Tom,Orioles,BAL,AL East,TRUE,60,63
Will,Astros,HOU,AL West,FALSE,98,94
Dad,Dodgers,LAD,NL West,FALSE,95,94
Dad,Royals,KCR,AL Central,TRUE,70,71
Will,Indians,CLE,AL Central,FALSE,95,91
Tom,Rockies,COL,NL West,FALSE,82,81
Tom,Twins,MIN,AL Central,FALSE,84,82
Will,Red Sox,BOS,AL East,FALSE,95,91
Dad,Yankees,NYY,AL East,FALSE,97,96
Dad,Cubs,CHC,NL Central,FALSE,84,87
Will,Brewers,MIL,NL Central,FALSE,86,83
Tom,Cardinals,STL,NL Central,FALSE,85,84
Tom,Angels,LAA,AL West,FALSE,80,80
Will,Giants,SFG,NL West,TRUE,71,74
Dad,Athletics,OAK,AL West,FALSE,83,81
