tm,w,l,w_l_percent,gb,rs,ra,pyth_w_l_percent,division,as_of
PHI,3,0,1,--,23,11,0.794,NL East,2019-03-31
NYM,2,1,0.667,1.0,18,14,0.613,NL East,2019-03-31
MIA,2,2,0.5,1.5,14,15,0.468,NL East,2019-03-31
WSN,1,2,0.333,2.0,14,18,0.387,NL East,2019-03-31
ATL,0,3,0,3.0,11,23,0.206,NL East,2019-03-31
MIL,3,1,0.75,--,19,19,0.5,NL Central,2019-03-31
PIT,1,1,0.5,1.0,8,5,0.703,NL Central,2019-03-31
CIN,1,1,0.5,1.0,5,8,0.297,NL Central,2019-03-31
CHC,1,2,0.333,1.5,28,23,0.589,NL Central,2019-03-31
STL,1,3,0.25,2.0,19,19,0.5,NL Central,2019-03-31
LAD,3,1,0.75,--,42,22,0.766,NL West,2019-03-31
SDP,3,1,0.75,--,11,5,0.809,NL West,2019-03-31
COL,2,2,0.5,1.0,15,14,0.532,NL West,2019-03-31
ARI,1,3,0.25,2.0,22,42,0.234,NL West,2019-03-31
SFG,1,3,0.25,2.0,5,11,0.191,NL West,2019-03-31
TBR,3,1,0.75,--,11,9,0.591,AL East,2019-03-31
BAL,2,1,0.667,0.5,14,15,0.468,AL East,2019-03-31
TOR,2,2,0.5,1.0,12,6,0.78,AL East,2019-03-31
NYY,1,2,0.333,1.5,15,14,0.532,AL East,2019-03-31
BOS,1,3,0.25,2.0,24,34,0.346,AL East,2019-03-31
MIN,2,1,0.667,--,12,5,0.832,AL Central,2019-03-31
KCR,2,1,0.667,--,16,15,0.529,AL Central,2019-03-31
DET,2,2,0.5,0.5,6,12,0.22,AL Central,2019-03-31
CLE,1,2,0.333,1.0,5,12,0.168,AL Central,2019-03-31
CHW,1,2,0.333,1.0,15,16,0.471,AL Central,2019-03-31
SEA,5,1,0.833,--,48,35,0.641,AL West,2019-03-31
TEX,2,1,0.667,1.5,23,28,0.411,AL West,2019-03-31
OAK,3,3,0.5,2.0,23,23,0.5,AL West,2019-03-31
LAA,1,3,0.25,3.0,9,12,0.371,AL West,2019-03-31
HOU,1,3,0.25,3.0,9,11,0.409,AL West,2019-03-31
PHI,6,2,0.75,--,53,33,0.704,NL East,2019-04-07
NYM,6,3,0.667,0.5,52,47,0.546,NL East,2019-04-07
ATL,5,4,0.556,1.5,44,38,0.567,NL East,2019-04-07
WSN,4,4,0.5,2.0,46,49,0.471,NL East,2019-04-07
MIA,3,7,0.3,4.0,33,44,0.371,NL East,2019-04-07
MIL,8,2,0.8,--,53,51,0.518,NL Central,2019-04-07
PIT,5,3,0.625,2.0,34,26,0.62,NL Central,2019-04-07
STL,4,5,0.444,3.5,41,40,0.511,NL Central,2019-04-07
CHC,2,7,0.222,5.5,62,71,0.438,NL Central,2019-04-07
CIN,1,8,0.111,6.5,21,34,0.293,NL Central,2019-04-07
LAD,8,2,0.8,--,84,48,0.736,NL West,2019-04-07
SDP,6,4,0.6,2.0,35,35,0.5,NL West,2019-04-07
ARI,5,5,0.5,3.0,61,67,0.457,NL West,2019-04-07
COL,3,7,0.3,5.0,31,54,0.266,NL West,2019-04-07
SFG,3,7,0.3,5.0,25,36,0.339,NL West,2019-04-07
TBR,7,3,0.7,--,34,19,0.744,AL East,2019-04-07
NYY,5,4,0.556,1.5,49,31,0.698,AL East,2019-04-07
BAL,4,5,0.444,2.5,36,55,0.315,AL East,2019-04-07
BOS,3,8,0.273,4.5,46,72,0.306,AL East,2019-04-07
TOR,3,8,0.273,4.5,29,34,0.428,AL East,2019-04-07
DET,7,3,0.7,--,27,26,0.517,AL Central,2019-04-07
CLE,6,3,0.667,0.5,30,29,0.516,AL Central,2019-04-07
MIN,5,3,0.625,1.0,35,29,0.585,AL Central,2019-04-07
CHW,3,5,0.375,3.0,43,53,0.405,AL Central,2019-04-07
KCR,2,6,0.25,4.0,35,42,0.417,AL Central,2019-04-07
SEA,9,2,0.818,--,85,56,0.682,AL West,2019-04-07
TEX,5,5,0.5,3.5,49,53,0.464,AL West,2019-04-07
HOU,5,5,0.5,3.5,33,32,0.514,AL West,2019-04-07
OAK,6,7,0.462,4.0,51,50,0.509,AL West,2019-04-07
LAA,4,6,0.4,4.5,32,35,0.459,AL West,2019-04-07
PHI,9,5,0.643,--,79,73,0.536,NL East,2019-04-14
NYM,9,6,0.6,0.5,91,90,0.505,NL East,2019-04-14
ATL,9,6,0.6,0.5,82,67,0.591,NL East,2019-04-14
WSN,7,7,0.5,2.0,83,72,0.565,NL East,2019-04-14
MIA,4,12,0.25,6.0,46,80,0.266,NL East,2019-04-14
MIL,10,6,0.625,--,78,84,0.466,NL Central,2019-04-14
STL,9,6,0.6,0.5,78,62,0.604,NL Central,2019-04-14
PIT,8,6,0.571,1.0,51,49,0.518,NL Central,2019-04-14
CHC,5,9,0.357,4.0,86,83,0.516,NL Central,2019-04-14
CIN,5,9,0.357,4.0,52,46,0.556,NL Central,2019-04-14
SDP,11,6,0.647,--,64,67,0.479,NL West,2019-04-14
LAD,9,8,0.529,2.0,109,87,0.602,NL West,2019-04-14
ARI,7,9,0.438,3.5,87,94,0.465,NL West,2019-04-14
SFG,7,10,0.412,4.0,47,55,0.429,NL West,2019-04-14
COL,4,12,0.25,6.5,46,78,0.276,NL West,2019-04-14
TBR,12,4,0.75,--,78,40,0.772,AL East,2019-04-14
NYY,6,9,0.4,5.5,73,63,0.567,AL East,2019-04-14
BOS,6,10,0.375,6.0,73,98,0.368,AL East,2019-04-14
BAL,6,10,0.375,6.0,71,105,0.328,AL East,2019-04-14
TOR,5,11,0.313,7.0,56,66,0.425,AL East,2019-04-14
MIN,8,4,0.667,--,65,53,0.592,AL Central,2019-04-14
DET,8,7,0.533,1.5,40,49,0.408,AL Central,2019-04-14
CLE,8,7,0.533,1.5,52,55,0.474,AL Central,2019-04-14
CHW,5,9,0.357,4.0,64,89,0.354,AL Central,2019-04-14
KCR,5,10,0.333,4.5,74,83,0.448,AL Central,2019-04-14
SEA,13,5,0.722,--,126,91,0.645,AL West,2019-04-14
HOU,11,5,0.688,1.0,67,53,0.606,AL West,2019-04-14
LAA,8,7,0.533,3.5,59,57,0.516,AL West,2019-04-14
OAK,10,9,0.526,3.5,101,86,0.573,AL West,2019-04-14
TEX,7,7,0.5,4.0,72,75,0.481,AL West,2019-04-14
