city,team,color1,color2,color3
Arizona,Diamondbacks,#A71930;,#E3D4AD;,#000000;
Atlanta,Braves,#CE1141;,#13274F;,#EAAA00;
Baltimore,Orioles,#DF4601;,#000000;, 
Boston,Red Sox,#BD3039;,#0C2340;, 
Chicago,Cubs,#0E3386;,#CC3433;, 
Chicago,White Sox,#27251F;,#C4CED4;, 
Cincinnati,Reds,#C6011F;,#000000;, 
Cleveland,Indians,#0C2340;,#E31937;, 
Colorado,Rockies,#33006F;,#C4CED4;, 
Detroit,Tigers,#0C2340;,#FA4616;, 
Houston,Astros,#002D62;,#EB6E1F;,#F4911E;
Kansas City,Royals,#004687;,#BD9B60;, 
Los Angeles,Angels,#003263;,#BA0021;,#862633;
Los Angeles,Dodgers,#005A9C;,#EF3E42;,#A5ACAF;
Miami,Marlins,#00A3E0;,#EF3340;,#41748D;
Milwaukee,Brewers,#0A2351;,#B6922E;, 
Minnesota,Twins,#002B5C;,#D31145;,#B9975B;
New York,Mets,#002D72;,#FF5910;, 
New York,Yankees,#0C2340;,"#FFFFFF	 ",
Oakland,Athletics,#003831;,#EFB21E;,#A2AAAD
Philadelphia,Phillies,#E81828;,#002D72;, 
Pittsburgh,Pirates,#27251F;,#FDB827;, 
St. Louis,Cardinals,#C41E3A;,#0C2340;,#FEDB00;
San Diego,Padres,#002D62;,#A2AAAD;, 
San Francisco,Giants,#FD5A1E;,#27251F;,#EFD19F;
Seattle,Mariners,#0C2C56;,#005C5C;,#C4CED4;
Tampa Bay,Rays,#092C5C;,#8FBCE6;,#F5D130;
Texas,Rangers,#003278,#C0111F, 
Toronto,Blue Jays,#134A8E;,#1D2D5C;,#E8291C;
Washington,Nationals,#AB0003;,#14225A;,#FFFFFF;
