Team,Division,Team Rating,Wins,Losses,Run Diff,Points
Orioles ,AL East ,1412,21,39,-85,39
Dodgers ,NL West ,1584,37,23,68,37
Yankees ,AL East ,1571,36,24,58,36
Astros ,AL West ,1570,36,24,55,36
Mariners ,AL West ,1446,24,36,-53,36
Tigers ,AL Central ,1436,24,36,-53,36
Twins ,AL Central ,1544,35,25,42,35
Marlins ,NL East ,1457,25,35,-46,35
Giants ,NL West ,1454,25,35,-48,35
Royals ,AL Central ,1448,25,35,-43,35
Nationals ,NL East ,1548,34,26,36,34
Pirates ,NL Central ,1468,26,34,-33,34
Rays ,AL East ,1539,33,27,31,33
Indians ,AL Central ,1529,33,27,29,33
Blue Jays ,AL East ,1479,27,33,-22,33
Mets ,NL East ,1529,32,28,15,32
Braves ,NL East ,1528,32,28,15,32
Athletics ,AL West ,1527,32,28,19,32
Cubs ,NL Central ,1524,32,28,16,32
Reds ,NL Central ,1522,32,28,18,32
Rockies ,NL West ,1489,28,32,-17,32
Rangers ,AL West ,1484,28,32,-18,32
Brewers ,NL Central ,1522,31,29,13,31
Cardinals ,NL Central ,1514,31,29,11,31
Phillies ,NL East ,1503,29,31,-7,31
Angels ,AL West ,1503,29,31,-5,31
Dbacks ,NL West ,1512,30,30,3,30
Red Sox ,AL East ,1511,30,30,4,30
Padres ,NL West ,1502,30,30,-3,30
White Sox ,AL Central ,1496,30,30,1,30
